Chapter,Entry,English Meaning,Pinyin,Simplified characters,Traditional characters,Comment
1,100,world,shìjiè,世界,世界,
1,210,"earth, land",dìqiú,地球,地球,the planet
1,210,"earth, land",lùdì,陆地,陸地,land
1,212,"earth=ground, soil",tǔdì,土地,土地,
1,213,dust,huīchén,灰尘,灰塵,
1,214,mud,ní,泥,泥,
1,215,sand,shā,沙,沙,
1,220,"mountain, hill",shān,山,山,
1,222,"cliff, precipice",xuányá,悬崖,懸崖,
1,230,"plain, field",píngyuán,平原,平原,plain
1,230,"plain, field",tiándì,田地,田地,field
1,240,valley,shāngǔ,山谷,山谷,
1,250,island,dǎo,岛,島,
1,260,mainland,dàlù,大陆,大陸,
1,270,shore,hǎibīn,海滨,海濱,sea shore
1,270,shore,húbīn,湖滨,湖濱,lake shore
1,280,cave,dòngxué,洞穴,洞穴,
1,310,water,shuǐ,水,水,
1,320,sea,hǎi,海,海,
1,322,calm (of sea),píngjìng,平静,平靜,
1,323,rough (of sea),bōtāoxiōngyǒng,波涛汹涌,波濤洶湧,
1,324,foam,pàomò,泡沫,泡沫,
1,329,ocean,hǎiyáng,海洋,海洋,
1,330,lake,hú,湖,湖,
1,340,"gulf, bay",wān,湾,灣,
1,341,lagoon,huánjiāohú,环礁湖,環礁湖,
1,342,reef,jiāo,礁,礁,
1,343,"headland, point",jiǎjiǎo,岬角,岬角,
1,350,wave,bōlàng,波浪,波浪,
1,352,tide,cháo,潮,潮,
1,353,lowtide,dīcháo,低潮,低潮,
1,354,hightide,gāocháo,高潮,高潮,
1,360,"river, stream, brook",hé,河,河,river
1,360,"river, stream, brook",xīliú,溪流,溪流,stream
1,362,whirlpool,xuánwō,旋涡,漩渦,Simplified also 漩涡
1,370,"spring, well",quán,泉,泉,spring
1,370,"spring, well",jǐng,井,井,well
1,380,swamp,zhǎozé,沼泽,沼澤,
1,390,waterfall,pùbù,瀑布,瀑布,
1,410,"woods, forest",sēnlín,森林,森林,
1,420,tree (cf 08.600),shù,树,樹,
1,430,wood,mùtou,木头,木頭,
1,440,"stone, rock",shítou,石头,石頭,stone
1,440,"stone, rock",yánshí,岩石,岩石,rock
1,450,earthquake,dìzhèn,地震,地震,
1,510,sky,tiānkōng,天空,天空,
1,520,sun,tàiyáng,太阳,太陽,
1,530,moon,yuèliàng,月亮,月亮,
1,540,star,xīng,星,星,
1,550,lightning,shǎndiàn,闪电,閃電,
1,560,thunder,léi,雷,雷,
1,570,lightning (as striking),léijī,雷击,雷擊,
1,580,storm,bàofēngyǔ,暴风雨,暴風雨,
1,590,rainbow,cǎihóng,彩虹,彩虹,
1,610,light (noun),guāng,光,光,
1,620,darkness,hēi’àn,黑暗,黑暗,
1,630,"shade, shadow",yīnyǐng,阴影,陰影,
1,640,dew,lùshuǐ,露水,露水,
1,710,air,kōngqì,空气,空氣,
1,720,wind,fēng,风,風,
1,730,cloud,yún,云,雲,
1,740,fog,wù,雾,霧,
1,750,rain (noun),yǔ,雨,雨,
1,760,snow (noun),xuě,雪,雪,
1,770,ice,bīng,冰,冰,
1,780,weather,tiānqì,天气,天氣,
1,810,fire,huǒ,火,火,
1,820,flame (noun),huǒyàn,火焰,火焰,
1,830,smoke (noun),yān,烟,煙,
1,840,ashes,huījìn,灰烬,灰燼,
1,841,embers,yújìn,余烬,餘燼,
1,851,burn (vb trans),shāohuǐ,烧毁,燒燬,
1,852,burn (vb intrans),ránshāo,燃烧,燃燒,
1,860,"light, kindle, ignite",diǎnrán,点燃,點燃,
1,861,extinguish,xīmiè,熄灭,熄滅,
1,870,match (noun),huǒchái,火柴,火柴,
1,880,firewood,mùchái,木柴,木柴,
1,890,charcoal,mùtàn,木炭,木炭,
2,100,"person, human being",rén,人,人,
2,210,man (vs. woman),nánrén,男人,男人,
2,220,woman,nǚrén,女人,女人,
2,230,male,nánxìng,男性,男性,
2,240,female,nǚxìng,女性,女性,
2,250,boy,nánhái,男孩,男孩,
2,251,young man (adolescent),shàonián,少年,少年,
2,260,girl,nǚhái,女孩,女孩,
2,261,young woman (adolescent),shàonǚ,少女,少女,
2,270,child,értóng,儿童,兒童,pre-puberty
2,270,child,háizi,孩子,孩子,offspring
